1250 144583
0 7 3650
0 26 3974
0 30 883
0 32 2217
0 35 3824
0 40 3754
0 60 639
0 65 9534
0 69 4018
0 80 7018
0 81 8872
0 91 122
0 93 4635
0 107 4813
0 119 8352
0 136 1863
0 152 3943
0 163 4703
0 168 9237
0 179 5497
0 182 5805
0 183 6280
0 188 3080
0 194 3864
0 199 4464
0 204 6543
0 211 3000
0 217 7831
0 219 3294
0 237 3117
0 241 9589
0 247 3618
0 255 1034
0 256 6679
0 260 8453
0 265 4912
0 270 5110
0 275 896
0 286 7223
0 307 9462
0 319 1065
0 320 2132
0 322 7884
0 339 5107
0 341 2911
0 343 2510
0 352 8342
0 359 8641
0 361 4130
0 374 2790
0 402 662
0 408 9353
0 413 973
0 415 7609
0 420 3941
0 443 1250
0 454 4575
0 473 6842
0 484 1564
0 506 1055
0 538 4068
0 547 5451
0 552 8226
0 565 3949
0 570 2916
0 578 3286
0 589 3975
0 601 5348
0 613 569
0 614 5421
0 618 225
0 626 838
0 635 4550
0 637 4419
0 658 2321
0 663 9003
0 669 4057
0 681 2937
0 682 8666
0 740 2020
0 749 3297
0 752 5635
0 771 4591
0 772 5922
0 793 8287
0 808 7453
0 818 9301
0 823 3946
0 842 5287
0 850 5320
0 857 2237
0 863 8904
0 879 8245
0 883 9262
0 886 7793
0 888 6983
0 921 9341
0 922 5627
0 926 4172
0 947 3622
0 954 2182
0 958 3367
0 970 5093
0 972 6938
0 979 1014
0 982 4367
0 1014 3400
0 1019 2488
0 1050 5908
0 1060 3648
0 1078 2824
0 1086 9821
0 1111 3950
0 1113 3077
0 1117 6870
0 1135 3784
0 1138 9526
0 1163 7463
0 1164 2386
0 1166 1922
0 1173 934
0 1193 7480
0 1205 4908
0 1237 1821
0 1245 5712
1 788 9398
2 58 7027
2 87 9053
2 92 2144
2 97 8719
2 108 6153
2 110 5461
2 165 1336
2 224 3718
2 282 524
2 296 9571
2 303 8730
2 305 1923
2 351 4844
2 362 5819
2 364 844
2 380 8486
2 401 1438
2 407 1680
2 467 6892
2 516 7749
2 533 5045
2 554 8963
2 603 5667
2 629 700
2 693 8527
2 712 3469
2 715 4897
2 737 7333
2 738 9299
2 741 197
2 745 5812
2 750 5622
2 763 6244
2 887 5400
2 939 7048
2 946 6487
2 966 4502
2 989 285
2 998 4079
2 1040 3519
2 1070 6885
2 1109 2089
2 1126 2726
2 1131 4869
2 1145 5511
2 1161 6996
2 1175 705
2 1206 5621
2 1207 3019
2 1238 4911
3 1 396
3 33 146
3 99 2217
3 103 1183
3 112 3075
3 114 6698
3 144 2730
3 167 2878
3 170 1346
3 185 7371
3 186 6078
3 232 1944
3 290 2086
3 300 8500
3 312 9089
3 346 5403
3 357 1675
3 371 5703
3 400 1243
3 412 518
3 424 3175
3 476 4336
3 517 369
3 520 1218
3 522 2240
3 543 3337
3 595 5668
3 596 831
3 668 5957
3 675 7706
3 700 7739
3 713 1649
3 784 2547
3 788 8929
3 811 5893
3 820 8652
3 824 1817
3 828 5199
3 831 4758
3 852 5857
3 876 6986
3 931 3928
3 936 9819
3 953 2364
3 962 3317
3 995 8263
3 1055 9124
3 1090 2910
3 1152 1010
3 1169 2206
3 1190 7449
3 1228 4125
3 1241 7869
4 19 4263
4 43 9105
4 48 6995
4 62 7497
4 101 838
4 109 445
4 115 477
4 132 8167
4 141 8210
4 193 6074
4 228 5832
4 240 4568
4 254 4321
4 261 7509
4 263 7854
4 273 6262
4 348 196
4 358 4957
4 386 2792
4 387 4451
4 414 8236
4 425 9708
4 525 883
4 529 7445
4 556 4364
4 652 9896
4 672 3788
4 727 1879
4 755 3566
4 847 4306
4 881 2963
4 997 8312
4 1006 3737
4 1016 5884
4 1025 8859
4 1114 2303
4 1143 296
4 1155 5846
4 1170 3165
4 1200 7432
4 1221 4329
5 1 5254
5 3 2080
5 9 9321
5 13 664
5 18 6286
5 20 8316
5 28 7038
5 31 6476
5 33 2558
5 34 8988
5 37 3325
5 42 9212
5 46 7983
5 47 7160
5 51 9010
5 54 1425
5 71 3124
5 76 7405
5 79 3340
5 82 4567
5 84 197
5 86 2785
5 98 5251
5 99 3993
5 103 2982
5 104 3254
5 112 1075
5 113 3990
5 114 6961
5 120 2177
5 124 642
5 144 8206
5 145 3091
5 147 264
5 148 6959
5 151 3068
5 154 6691
5 158 2880
5 167 3878
5 169 1122
5 170 241
5 171 4648
5 172 3859
5 174 2924
5 175 6834
5 180 8113
5 185 5470
5 186 6700
5 198 8122
5 200 5539
5 201 2704
5 202 6428
5 203 7742
5 207 4105
5 208 9991
5 216 3620
5 220 8652
5 222 580
5 225 2341
5 227 4327
5 231 9608
5 232 4395
5 239 3905
5 243 1745
5 244 7969
5 245 4876
5 257 3138
5 258 4272
5 269 9473
5 290 6250
5 295 404
5 300 587
5 301 232
5 309 2941
5 312 9463
5 313 6909
5 315 6955
5 330 2814
5 338 7368
5 340 4603
5 342 8268
5 346 7968
5 353 5686
5 357 1136
5 360 3996
5 363 3469
5 365 3331
5 366 537
5 369 1480
5 371 3640
5 373 4907
5 375 6420
5 376 3634
5 384 5775
5 388 9454
5 392 2279
5 397 7409
5 398 2093
5 400 5231
5 405 3339
5 409 6007
5 412 8280
5 418 3117
5 421 3211
5 424 8984
5 430 4893
5 434 1978
5 439 3331
5 450 8884
5 451 6802
5 453 4207
5 455 4861
5 460 631
5 461 2501
5 464 8930
5 470 9584
5 475 3330
5 476 8594
5 477 1083
5 479 7563
5 483 3853
5 488 3501
5 493 558
5 494 6452
5 501 6833
5 509 6877
5 514 7565
5 515 1060
5 517 5399
5 518 365
5 520 5828
5 522 8160
5 524 7312
5 526 6742
5 532 7690
5 535 6080
5 540 3988
5 542 289
5 543 24
5 545 9688
5 549 2208
5 551 2239
5 553 4610
5 557 8387
5 567 2549
5 572 1361
5 575 4468
5 582 860
5 586 1084
5 587 8871
5 593 173
5 595 2442
5 596 8760
5 600 4447
5 602 4387
5 604 8271
5 612 6172
5 617 627
5 621 8724
5 622 8935
5 639 5961
5 640 8239
5 642 8599
5 643 4092
5 645 6439
5 646 5225
5 651 5935
5 659 8436
5 668 3779
5 670 8663
5 671 664
5 675 1748
5 680 9352
5 683 5353
5 685 8512
5 690 4141
5 691 2864
5 695 8913
5 697 1558
5 700 7288
5 701 8811
5 702 1348
5 706 9950
5 707 9045
5 708 1247
5 713 1509
5 718 6419
5 722 4753
5 723 7583
5 728 6013
5 731 8146
5 739 6121
5 746 7485
5 753 802
5 754 4348
5 757 898
5 769 3753
5 773 7526
5 774 1556
5 776 9399
5 777 1452
5 779 2316
5 781 7316
5 782 1248
5 784 2133
5 788 9593
5 792 5077
5 794 5794
5 797 4652
5 798 2000
5 799 1809
5 800 6774
5 801 8484
5 805 5030
5 806 5179
5 811 7562
5 812 5913
5 817 7715
5 820 5366
5 821 324
5 822 8395
5 824 6727
5 827 7757
5 828 1516
5 831 2057
5 843 8666
5 844 2249
5 851 6112
5 852 5031
5 860 7127
5 865 9036
5 872 9637
5 876 3338
5 877 713
5 878 9632
5 884 9769
5 889 1260
5 890 3040
5 892 5845
5 897 3343
5 899 2044
5 901 894
5 902 1649
5 903 8056
5 920 3159
5 923 1285
5 924 8485
5 928 9983
5 929 9639
5 931 1857
5 933 2252
5 936 6778
5 940 5848
5 942 9919
5 944 7052
5 953 4065
5 959 8681
5 961 6262
5 962 9322
5 964 3807
5 965 3627
5 980 2445
5 983 5642
5 988 1212
5 992 1993
5 994 1307
5 995 7399
5 999 8535
5 1002 9098
5 1003 9729
5 1004 4687
5 1005 2081
5 1008 6686
5 1011 5231
5 1017 7748
5 1018 4491
5 1022 5638
5 1023 1406
5 1024 7224
5 1032 6750
5 1038 3080
5 1041 9082
5 1054 639
5 1055 9574
5 1056 5017
5 1071 8012
5 1075 7101
5 1079 5666
5 1090 6768
5 1092 8867
5 1095 2871
5 1102 209
5 1104 3849
5 1118 9042
5 1140 5988
5 1144 3525
5 1146 3557
5 1149 4115
5 1150 8456
5 1151 6056
5 1152 9475
5 1154 9835
5 1156 7598
5 1160 1350
5 1169 9171
5 1174 264
5 1178 4574
5 1189 9487
5 1190 5116
5 1196 9535
5 1201 9892
5 1204 2976
5 1209 448
5 1214 4626
5 1215 5560
5 1217 3969
5 1218 1922
5 1224 7840
5 1228 9435
5 1232 9344
5 1234 10000
5 1239 6811
5 1240 5847
5 1241 8850
5 1242 6956
5 1244 7759
5 1247 8255
6 4 4361
6 19 2105
6 38 7318
6 43 1318
6 48 2895
6 62 3731
6 88 2961
6 101 7493
6 106 5194
6 109 2115
6 111 7762
6 115 2523
6 125 3881
6 128 5699
6 129 3095
6 132 7516
6 141 2317
6 177 2371
6 189 3789
6 190 4768
6 193 9465
6 205 3795
6 214 8301
6 228 8838
6 240 6069
6 254 274
6 261 6738
6 263 6776
6 266 5024
6 273 369
6 278 1940
6 297 2865
6 344 4660
6 348 3808
6 358 7631
6 367 82
6 381 9832
6 385 6728
6 386 3900
6 387 1507
6 389 701
6 393 3084
6 396 7678
6 414 5942
6 425 7380
6 427 8816
6 432 4581
6 447 7136
6 448 5197
6 462 4444
6 466 5919
6 525 6055
6 527 6551
6 529 651
6 530 5669
6 536 4905
6 537 5285
6 556 7752
6 584 8014
6 592 9658
6 605 3174
6 633 3976
6 638 8832
6 650 2760
6 652 3418
6 661 9303
6 662 3329
6 672 7552
6 719 7224
6 724 220
6 727 6303
6 755 3118
6 761 8612
6 765 2247
6 767 2863
6 778 2128
6 789 6395
6 847 6302
6 866 8780
6 873 2522
6 881 1903
6 882 436
6 908 6771
6 912 8296
6 914 5401
6 932 7637
6 957 1581
6 977 8566
6 984 8507
6 993 8842
6 997 8434
6 1006 5148
6 1016 919
6 1025 9514
6 1058 16
6 1061 636
6 1082 7795
6 1083 9079
6 1096 3839
6 1100 8760
6 1114 2615
6 1121 8750
6 1134 6124
6 1137 6451
6 1143 1243
6 1155 5081
6 1158 6185
6 1170 2048
6 1171 8268
6 1181 1784
6 1191 886
6 1200 4805
6 1212 5643
6 1220 4965
6 1221 2611
6 1223 1010
6 1225 7023
7 26 3775
7 32 2016
7 35 8985
7 65 9776
7 91 8665
7 107 8847
7 136 1906
7 182 9626
7 188 5778
7 194 1014
7 217 648
7 219 6790
7 247 9394
7 256 6758
7 286 4293
7 320 5184
7 339 8470
7 341 6331
7 343 6949
7 352 9607
7 374 1471
7 402 6568
7 415 5331
7 420 5316
7 443 8154
7 454 5604
7 473 4510
7 506 1879
7 570 200
7 578 9391
7 589 6413
7 618 2736
7 626 1350
7 635 7685
7 637 955
7 663 9477
7 669 5765
7 749 8186
7 771 5208
7 793 909
7 808 1831
7 842 3470
7 850 3763
7 857 2075
7 863 9474
7 883 5121
7 886 3970
7 888 1637
7 921 6621
7 922 7109
7 926 5552
7 947 2736
7 954 7576
7 958 9145
7 972 1728
7 1014 20
7 1019 7034
7 1050 9478
7 1060 1141
7 1086 4152
7 1117 611
7 1135 4665
7 1138 740
7 1163 3514
7 1166 1342
7 1193 8660
7 1205 6244
7 1237 2776
7 1245 2416
8 4 5
8 6 4572
8 10 1839
8 19 7282
8 38 2042
8 43 5965
8 48 821
8 62 2541
8 88 56
8 101 2877
8 106 3339
8 109 1877
8 111 185
8 115 6105
8 125 7969
8 127 1244
8 128 3855
8 129 1161
8 132 9817
8 141 2160
8 143 3811
8 166 5335
8 177 1510
8 189 8340
8 190 3642
8 193 772
8 205 6175
8 213 2605
8 214 880
8 228 5148
8 234 9789
8 240 3151
8 254 9146
8 261 3502
8 263 5548
8 266 8673
8 273 6316
8 278 3001
8 297 7272
8 298 3831
8 299 4164
8 344 7846
8 348 9931
8 356 3837
8 358 5907
8 367 4319
8 370 8054
8 378 3069
8 381 9401
8 382 8776
8 385 6878
8 386 5383
8 387 6356
8 389 4871
8 393 5357
8 396 2433
8 403 5248
8 414 1527
8 425 959
8 427 8143
8 432 5450
8 435 1976
8 447 5168
8 448 8043
8 462 5539
8 466 9027
8 474 1450
8 481 6045
8 496 1360
8 525 9712
8 527 9621
8 529 9132
8 530 5654
8 536 2993
8 537 463
8 556 4810
8 562 2535
8 584 4793
8 592 9777
8 605 6115
8 633 5523
8 638 2628
8 641 6106
8 650 7450
8 652 3656
8 661 5314
8 662 4243
8 667 470
8 672 4919
8 692 8806
8 719 7550
8 720 1670
8 721 85
8 724 695
8 727 5822
8 730 5782
8 732 5433
8 735 2484
8 747 8467
8 755 5284
8 761 8697
8 765 8424
8 767 7572
8 778 3927
8 786 8441
8 789 2292
8 826 8402
8 847 8835
8 862 6294
8 866 776
8 869 4453
8 873 9633
8 881 8762
8 882 7056
8 891 2141
8 908 9942
8 912 8900
8 914 8409
8 916 5802
8 932 9985
8 950 5671
8 957 3842
8 977 1572
8 981 971
8 984 6633
8 993 1516
8 997 1549
8 1006 368
8 1016 7908
8 1020 496
8 1025 6188
8 1026 521
8 1027 4033
8 1028 6149
8 1058 7684
8 1061 2552
8 1068 1960
8 1082 5839
8 1083 3203
8 1096 6845
8 1100 7139
8 1101 3314
8 1114 8961
8 1119 2139
8 1121 1727
8 1134 6414
8 1137 1027
8 1143 3548
8 1155 7175
8 1158 5358
8 1170 1486
8 1171 9844
8 1176 702
8 1181 4875
8 1182 7961
8 1183 3862
8 1191 7648
8 1200 3119
8 1212 2482
8 1220 8071
8 1221 4227
8 1223 556
8 1225 9850
8 1229 797
8 1231 4869
9 1 6885
9 3 9699
9 13 6263
9 18 9087
9 20 7621
9 28 3469
9 33 6936
9 37 5649
9 42 4174
9 71 7008
9 76 6842
9 79 6264
9 82 8593
9 98 4527
9 99 1167
9 103 6728
9 104 7756
9 112 2575
9 113 238
9 114 2879
9 120 3135
9 124 4903
9 144 3709
9 147 5155
9 148 5830
9 151 4752
9 167 7146
9 169 627
9 170 4629
9 171 6667
9 172 8437
9 174 7176
9 175 4670
9 180 9482
9 185 6446
9 186 6464
9 200 8051
9 201 8253
9 202 6153
9 203 7388
9 207 2929
9 216 4426
9 222 1382
9 225 9405
9 227 6160
9 231 1373
9 232 9249
9 239 8072
9 243 3469
9 244 3209
9 257 4874
9 258 738
9 269 7666
9 290 8734
9 300 5319
9 301 4820
9 309 5048
9 312 9517
9 313 3413
9 330 1400
9 338 8005
9 342 978
9 346 1397
9 353 4909
9 357 7060
9 360 7043
9 363 1576
9 365 5746
9 371 6065
9 375 9263
9 376 1150
9 388 5914
9 398 9964
9 400 953
9 405 3527
9 412 3719
9 418 1098
9 421 7050
9 424 2071
9 430 636
9 434 5338
